Date,Not indexed,Indexed,Impressions
2026-03-11,,,8
2026-03-12,,,5
2026-03-13,,,13
2026-03-14,10666,111,24
2026-03-15,10646,98,19
2026-03-16,10646,98,27
2026-03-17,10577,80,20
2026-03-18,10577,80,7
2026-03-19,10577,80,21
2026-03-20,10577,80,23
2026-03-21,10422,75,19
2026-03-22,10422,75,15
2026-03-23,10422,75,19
2026-03-24,10258,62,15
2026-03-25,10258,62,13
2026-03-26,10258,62,34
2026-03-27,10258,62,14
2026-03-28,10206,52,13
2026-03-29,10206,52,10
2026-03-30,10206,52,26
2026-03-31,10062,51,55
2026-04-01,10062,51,19
2026-04-02,10062,51,19
2026-04-03,10062,51,16
2026-04-04,10012,44,29
2026-04-05,10012,44,21
2026-04-06,9945,68,43
2026-04-07,9945,68,57
2026-04-08,9945,68,139
2026-04-09,9945,68,164
2026-04-10,12149,92,137
2026-04-11,12149,92,211
2026-04-12,12149,92,212
2026-04-13,12088,63,187
2026-04-14,12088,63,131
2026-04-15,12088,63,82
2026-04-16,12088,63,57
2026-04-17,11927,54,66
2026-04-18,11927,54,36
2026-04-19,11927,54,69
2026-04-20,11805,33,30
2026-04-21,11805,33,46
2026-04-22,11805,33,123
2026-04-23,11805,33,119
2026-04-24,11763,29,105
2026-04-25,11763,29,94
2026-04-26,11763,29,90
2026-04-27,11688,23,33
2026-04-28,11688,23,46
2026-04-29,11688,23,76
2026-04-30,11688,23,60
2026-05-01,10761,14,81
2026-05-02,10761,14,74
2026-05-03,10761,14,108
2026-05-04,9656,6,79
2026-05-05,9656,6,88
2026-05-06,9656,6,63
2026-05-07,9656,6,52
2026-05-08,8972,4,23
2026-05-09,8972,4,48
2026-05-10,8972,4,29
2026-05-11,8876,5,18
2026-05-12,8876,5,6
2026-05-13,8876,5,11
2026-05-14,8876,5,13
2026-05-15,8835,5,9
2026-05-16,8835,5,5
2026-05-17,8835,5,4
2026-05-18,8785,4,6
2026-05-19,8785,4,12
2026-05-20,8785,4,14
2026-05-21,8785,4,4
